頭文字,品目,料金,ふりがな
あ,アイエイチ（IH）クッキングヒーター（1口）,200,あいえいち（IH）くっきんぐひーたー（1くち）
あ,アイスボックス（高さと幅の合計90cm未満）,200,あいすぼっくす（たかさとはばのごうけい90cmみまん）
あ,アイスホッケーのスティック,200,あいすほっけーのすてぃっく
あ,アイロン（収納箱含む） 30cm以上のもの,200,あいろん（しゅうのうばこふくむ） 30cmいじょうのもの
あ,アイロン台,200,あいろんだい
あ,赤ちゃん用かご　（ベビークーハン）,200,あかちゃんようかご　（べびーくーはん）
あ,足こぎ自動車（玩具）,200,あしこぎじどうしゃ（がんぐ）
あ,足ひれ（フィン）,200,あしひれ（ふぃん）
あ,足ふきマット（お風呂用）,200,あしふきまっと（おふろよう）
あ,足元ファンヒーター（最大辺40cm未満）,200,あしもとふぁんひーたー（さいだいへん40cmみまん）
あ,アタッシュケース（ビジネスバッグ）,200,あたっしゅけーす（びじねすばっぐ）
あ,圧力鍋,200,あつりょくなべ
あ,網戸 （木製・アルミ製）,200,あみど （もくせい・あるみせい）
あ,アンカ,200,あんか
あ,アンテナ（室内・卓上用）,200,あんてな（しつない・たくじょうよう）
い,イーゼル　（画材・展示用スタンド）,200,いーぜる　（がざい・てんじようすたんど）
い,衣桁（いこう）　（着物ハンガー）,200,いこう（いこう）　（きものはんがー）
い,囲碁・将棋盤（脚付き・脚無し共）※厚さ5cmまで,200,いご・しょうぎばん（あしつき・あしなしとも）※あつさ5cmまで
い,衣装ケース（プラスチック製・ブリキ製・やなぎごうり）,200,いしょうけーす（ぷらすちっくせい・ぶりきせい・やなぎごうり）
い,椅子（小）※折りたたみ式・パイプ式,200,いす（しょう）※おりたたみしき・ぱいぷしき
い,一輪車　（遊戯用）,200,いちりんしゃ　（ゆうぎよう）
い,いっと缶　（通常は燃やさないごみ）,200,いっとかん　（つうじょうはもやさないごみ）
い,鋳物類　（中空ものに限る）　最大辺 60cm未満,200,いものるい　（なかぞらものにかぎる）　さいだいへん 60cmみまん
う,ヴァニティケース（化粧箱）,200,ヴぁにてぃけーす（けしょうばこ）
う,植木鉢　3個まで (陶器製は別 ),200,うえきばち　3こまで (とうきせいはべつ )
う,植木棚・フラワースタンド　3段まで,200,うえきだな・ふらわーすたんど　3だんまで
う,植木棒　直径1.0cm未満　10本まで,200,うえきぼう　ちょっけい1.0cmみまん　10ほんまで
う,植木棒　直径1.0cm以上2.0㎝未満　5本まで,200,うえきぼう　ちょっけい1.0cmいじょう2.0㎝みまん　5ほんまで
う,ウォータージャグ,200,うぉーたーじゃぐ
う,ウッドデッキパネル　（90×90cm未満） 1枚,200,うっどでっきぱねる　（90×90cmみまん） 1まい
う,梅酒を漬けるビン（40cm以上）,200,うめしゅをつけるびん（40cmいじょう）
え,エアーポンプ（手動式）自転車の空気入れ,200,えあーぽんぷ（しゅどうしき）じてんしゃのくうきいれ
え,エキスパンダー,200,えきすぱんだー
え,枝切りハサミ（高枝切りバサミは500円）,200,えだぎりはさみ（たかえだぎりばさみは500えん）
え,園芸用支柱　直径2.0cm以上5.0㎝まで　1本,200,えんげいようしちゅう　ちょっけい2.0cmいじょう5.0㎝まで　1ほん
お,オーブントースター,200,おーぶんとーすたー
お,大型水筒　（レジャーポット・ウォータージャグ）,200,おおがたすいとう　（れじゃーぽっと・うぉーたーじゃぐ）
お,オカメジョレン,200,おかめじょれん
お,屋外コンテナ（高さと幅の合計90cm未満）,200,おくがいこんてな（たかさとはばのごうけい90cmみまん）
お,桶（おけ）,200,おけ（おけ）
お,斧　（40cm以上）,200,おの　（40cmいじょう）
お,おまる,200,おまる
お,おむつ処理器（紙おむつ処理器）,200,おむつしょりうつわ（かみおむつしょりうつわ）
お,おもちゃ（キッチンセット　等）,200,おもちゃ（きっちんせっと　とう）
お,折りたたみ椅子・パイプ椅子,200,おりたたみいす・ぱいぷいす
お,折りたたみ机　最大辺90cm未満,200,おりたたみつくえ　さいだいへん90cmみまん
か,ガーデンアーチ（簡易式）/ガーデニングアーチ（簡易式）最大辺180cm未満,200,がーでんあーち（かんいしき）/がーでにんぐあーち（かんいしき）さいだいへん180cmみまん
か,ガーデンフェンス（簡易式）　最大辺60cm未満　3枚,200,がーでんふぇんす（かんいしき）　さいだいへん60cmみまん　3まい
か,ガーデンフェンス（簡易式）　最大辺60cm以上90cm未満,200,がーでんふぇんす（かんいしき）　さいだいへん60cmいじょう90cmみまん
か,カーテンレール　（木製も含む）,200,かーてんれーる　（もくせいもふくむ）
か,ガード　ベビーガード,200,がーど　べびーがーど
か,ガード　布団ガード,200,がーど　ふとんがーど
か,ガード　ストーブガード,200,がーど　すとーぶがーど
か,カーペットローラーの柄　（80cm以上） ２本まで,200,かーぺっとろーらーのえ　（80cmいじょう） ２ほんまで
か,絵画 （最大辺40～60cm）,200,かいが （さいだいへん40～60cm）
か,介護用バスステップ　（浴槽内椅子）,200,かいごようばすすてっぷ　（よくそうないいす）
か,買い物かご,200,かいものかご
か,鏡　（最大辺60cm未満）,200,かがみ　（さいだいへん60cmみまん）
か,学生かばん（40cm以上）,200,がくせいかばん（40cmいじょう）
か,額縁　最大辺60cm未満　　画・写真含む,200,がくぶち　さいだいへん60cmみまん　　え・しゃしんふくむ
か,掛軸　最大辺60cm未満　 3本,200,かけじく　さいだいへん60cmみまん　 3ほん
か,掛軸　最大辺60cm以上　 1本,200,かけじく　さいだいへん60cmいじょう　 1ほん
か,かご（竹・木製）,200,かご（たけ・もくせい）
か,傘立て（高さ60cm未満）,200,かさたて（たかさ60cmみまん）
か,画材用スタンド　（イーゼル）,200,がざいようすたんど　（いーぜる）
か,果実酒を漬けるビン,200,かじつしゅをつけるびん
か,ガスコンロ（1口）,200,がすこんろ（1くち）
か,ガステーブル（1口）,200,がすてーぶる（1くち）
か,カセットコンロ,200,かせっとこんろ
か,ガソリン携行缶　燃料は抜く,200,がそりんけいこうかん　ねんりょうはぬく
か,カタカタ（子供用の木製手押しのおもちゃ）玩具,200,かたかた（こどもようのもくせいておしのおもちゃ）がんぐ
か,楽器（ギターケース）,200,がっき（ぎたーけーす）
